confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Huntsville City FC - Crown Legacy FC,MLS Next Pro,12/08 21:00,Betano,3.1,3.6,1.98,0.289,0.245,0.466,3.5,2.07,1.6,,0.429,0.571,,1.5,2.07,1.55,,0.419,0.581,,,1.67,1.24,1.3,0.238,0.396,0.366,,2.27,1.5,,0.387,0.613,,,,,,,,
Charlotte Independence - Hartford Athletic,USL Cup,12/08 20:00,Betano,2.47,3.15,2.57,0.367,0.282,0.351,2.5,1.78,1.83,,0.508,0.492,,1.5,2.5,1.37,,0.335,0.665,,,1.4,1.3,1.44,0.324,0.367,0.309,,1.78,1.83,,0.508,0.492,,,,,,,,
Tampa Bay Rowdies - Louisville City,USL Cup,12/08 20:00,Betano,1.98,3.4,3.2,0.464,0.259,0.277,2.5,1.67,1.95,,0.543,0.457,,1.5,2.35,1.42,,0.361,0.639,,,1.28,1.26,1.67,0.376,0.386,0.239,,1.47,2.32,,0.625,0.375,,,,,,,,
San Antonio FC - Miami FC,USL Cup,12/08 21:30,Betano,1.75,3.5,4.0,0.531,0.252,0.217,2.5,1.67,1.95,,0.543,0.457,,1.5,2.35,1.42,,0.361,0.639,,,1.2,1.25,1.88,0.417,0.390,0.192,,1.32,2.85,,0.703,0.297,,,,,,,,
Spokane Velocity FC - Colorado Switchbacks FC,USL Cup,12/08 22:00,Betano,3.25,3.55,1.91,0.272,0.246,0.482,2.5,1.7,1.91,,0.532,0.468,,1.5,2.4,1.4,,0.351,0.649,,,1.72,1.25,1.28,0.228,0.393,0.378,,2.37,1.45,,0.366,0.634,,,,,,,,
Inter Miami CF - Club León,Leagues Cup,12/08 20:30,Betano,1.93,4.45,3.25,0.499,0.209,0.291,3.5,2.2,1.67,,0.428,0.572,,1.5,2.22,1.65,,0.422,0.578,,,1.35,1.24,1.87,0.367,0.421,0.212,,1.5,2.47,,0.631,0.369,,,1.47,2.57,,0.646,0.354,
CF Monterrey - Nashville SC,Leagues Cup,12/08 21:00,Betano,3.05,3.9,2.15,0.312,0.241,0.447,2.5,1.67,2.2,,0.572,0.428,,1.5,2.5,1.52,,0.371,0.629,,,1.72,1.27,1.4,0.246,0.407,0.347,,2.22,1.62,,0.417,0.583,,,1.57,2.3,,0.601,0.399,
Seattle Sounders FC - Guadalajara Chivas,Leagues Cup,12/08 23:30,Betano,3.2,3.9,2.07,0.296,0.240,0.464,3.5,2.32,1.62,,0.407,0.593,,1.5,2.3,1.6,,0.405,0.595,,,1.78,1.27,1.36,0.231,0.406,0.363,,2.35,1.55,,0.390,0.610,,,1.47,2.55,,0.644,0.356,
CD Motagua - CS Cartagines,Central American Cup,12/08 22:00,Betano,2.07,3.15,3.25,0.444,0.283,0.273,2.5,1.87,1.75,,0.482,0.518,,0.5,1.39,2.42,,0.653,0.347,,,1.28,1.3,1.6,0.376,0.367,0.257,,1.5,2.27,,0.613,0.387,,,,,,,,
Club Atletico Tucuman - CA Independiente,Taça,12/08 19:15,Betano,3.7,3.0,2.15,0.249,0.311,0.440,1.5,1.53,2.4,,0.618,0.382,,0.5,1.62,2.22,,0.583,0.417,,,1.72,1.36,1.3,0.246,0.363,0.391,,2.5,1.5,,0.367,0.633,,,2.15,1.62,,0.424,0.576,
FADEP - Costa Brava,Torneo Federal A,12/08 11:30,Betano,2.1,2.75,3.75,0.438,0.328,0.234,1.5,1.6,2.07,,0.571,0.429,,0.5,1.62,1.95,,0.552,0.448,,,1.23,1.37,1.6,0.404,0.337,0.259,,1.42,2.45,,0.648,0.352,,,,,,,,
Escobar FC - Sportivo Las Parejas,Torneo Federal A,12/08 15:00,Betano,2.2,2.77,3.4,0.416,0.325,0.260,1.5,1.5,2.27,,0.613,0.387,,0.5,1.55,2.05,,0.579,0.421,,,1.27,1.36,1.53,0.381,0.340,0.278,,1.5,2.25,,0.611,0.389,,,,,,,,
Germinal de Rawson - CD Santamarina Tandil,Torneo Federal A,12/08 15:00,Betano,1.75,3.05,4.85,0.531,0.294,0.175,1.5,1.52,2.22,,0.604,0.396,,0.5,1.57,2.02,,0.571,0.429,,,1.16,1.31,1.87,0.443,0.362,0.195,,1.26,3.2,,0.741,0.259,,,,,,,,
Guillermo Brown - Juventud Unida Universitario,Torneo Federal A,12/08 15:00,Betano,2.42,2.65,3.15,0.376,0.341,0.283,1.5,1.62,2.02,,0.561,0.439,,0.5,1.65,1.91,,0.541,0.459,,,1.29,1.39,1.45,0.370,0.326,0.304,,1.6,2.05,,0.569,0.431,,,,,,,,
Deportivo Rincon - Circulo Deportivo,Torneo Federal A,12/08 15:00,Betano,1.75,3.1,4.7,0.531,0.288,0.181,1.5,1.47,2.32,,0.625,0.375,,0.5,1.53,2.1,,0.589,0.411,,,1.16,1.3,1.88,0.442,0.366,0.193,,1.26,3.15,,0.738,0.262,,,,,,,,
Defensores de Belgrano de Villa Ramallo - Douglas Haig,Torneo Federal A,12/08 15:30,Betano,2.55,2.75,2.85,0.356,0.328,0.316,1.5,1.52,2.2,,0.602,0.398,,0.5,1.57,2.02,,0.571,0.429,,,1.35,1.37,1.42,0.346,0.337,0.317,,1.72,1.9,,0.528,0.472,,,,,,,,
Club Cipolletti - Argentino Monte Maiz,Torneo Federal A,12/08 15:30,Betano,2.18,2.75,3.5,0.420,0.328,0.252,1.5,1.55,2.15,,0.590,0.410,,0.5,1.6,1.98,,0.560,0.440,,,1.25,1.36,1.55,0.390,0.339,0.271,,1.47,2.32,,0.625,0.375,,,,,,,,
Defensores de Puerto Vilelas - Tucuman Central,Torneo Federal A,12/08 15:30,Betano,1.83,3.1,4.1,0.504,0.286,0.210,2.5,2.15,1.55,,0.410,0.590,,0.5,1.47,2.22,,0.615,0.385,,,1.2,1.3,1.78,0.419,0.367,0.214,,1.33,2.8,,0.697,0.303,,,,,,,,
CA Alvarado del Plata - Huracan Las Heras,Torneo Federal A,12/08 15:30,Betano,1.57,3.3,6.0,0.595,0.269,0.137,2.5,2.32,1.47,,0.375,0.625,,0.5,1.52,2.12,,0.593,0.407,,,1.11,1.26,2.12,0.469,0.380,0.151,,1.17,3.9,,0.799,0.201,,,,,,,,
San Martin Formosa - Sportivo Belgrano,Torneo Federal A,12/08 16:00,Betano,1.93,2.9,4.0,0.476,0.308,0.216,1.5,1.5,2.25,,0.611,0.389,,0.5,1.55,2.05,,0.579,0.421,,,1.21,1.33,1.7,0.414,0.354,0.232,,1.36,2.67,,0.680,0.320,,,,,,,,
Olimpo Bahia Blanca - Villa Mitre,Torneo Federal A,12/08 19:30,Betano,2.22,2.67,3.45,0.410,0.336,0.254,1.5,1.67,1.95,,0.543,0.457,,0.5,1.67,1.88,,0.533,0.467,,,1.26,1.38,1.52,0.386,0.332,0.282,,1.5,2.27,,0.613,0.387,,,,,,,,
Club Atletico el Linqueno - Gimnasia Y Esgrima de Conception del Uruguay,Torneo Federal A,12/08 20:30,Betano,2.12,2.8,3.55,0.432,0.321,0.247,1.5,1.57,2.1,,0.580,0.420,,0.5,1.6,1.98,,0.560,0.440,,,1.25,1.35,1.57,0.391,0.344,0.266,,1.45,2.37,,0.634,0.366,,,,,,,,
9 de Julio Rafaela - Gimnasia y Esgrima de Chivilcoy,Torneo Federal A,12/08 20:45,Betano,2.05,2.95,3.5,0.447,0.302,0.251,2.5,2.02,1.62,,0.439,0.561,,0.5,1.45,2.27,,0.625,0.375,,,1.25,1.32,1.62,0.391,0.357,0.252,,1.45,2.4,,0.636,0.364,,,,,,,,
Sportivo Biblioteca Atenas - Kimberley Mar del Plata,Torneo Federal A,12/08 21:00,Betano,2.15,2.72,3.6,0.426,0.331,0.243,1.5,1.72,1.9,,0.528,0.472,,0.5,1.67,1.87,,0.532,0.468,,,1.24,1.37,1.57,0.397,0.336,0.267,,1.45,2.37,,0.634,0.366,,,,,,,,
San Martin de Mendoza - Sol de Mayo,Torneo Federal A,12/08 21:15,Betano,1.67,3.3,4.7,0.554,0.267,0.179,2.5,2.02,1.62,,0.439,0.561,,0.5,1.44,2.3,,0.630,0.370,,,1.16,1.27,1.95,0.441,0.380,0.180,,1.25,3.2,,0.744,0.256,,,,,,,,
Atletico Sarmiento de la Banda - Sol de America de Formosa,Torneo Federal A,12/08 21:30,Betano,1.82,3.1,4.25,0.509,0.288,0.203,2.5,2.32,1.47,,0.375,0.625,,0.5,1.52,2.12,,0.593,0.407,,,1.19,1.3,1.8,0.424,0.367,0.209,,1.31,2.87,,0.707,0.293,,,,,,,,
Barrancas FC - Uribelarrea FC,Torneo Promocional Amateur,12/08 13:45,Betano,2.27,2.85,3.15,0.402,0.315,0.283,1.5,1.5,2.25,,0.611,0.389,,0.5,1.55,2.05,,0.579,0.421,,,1.3,1.35,1.5,0.367,0.345,0.288,,1.57,2.12,,0.583,0.417,,,,,,,,
Magallanes - CD Cobreloa Calama,Liga de Ascenso,12/08 16:00,Betano,2.02,3.45,3.5,0.469,0.267,0.263,2.5,1.85,1.88,,0.504,0.496,,1.5,2.75,1.42,,0.330,0.670,,,1.32,1.29,1.82,0.381,0.396,0.223,,1.5,2.5,,0.633,0.367,,,1.72,2.02,,0.543,0.457,
Deportes Recoleta - Rangers de Talca,Liga de Ascenso,12/08 19:00,Betano,2.42,3.3,2.8,0.388,0.280,0.333,2.5,1.98,1.78,,0.472,0.528,,0.5,1.44,2.65,,0.659,0.341,,,1.45,1.31,1.57,0.327,0.386,0.287,,1.75,2.02,,0.538,0.462,,,1.75,1.95,,0.529,0.471,
CD Antofagasta - Santiago Wanderers,Liga de Ascenso,12/08 21:30,Betano,1.87,3.55,3.95,0.509,0.260,0.232,2.5,1.78,1.95,,0.524,0.476,,1.5,2.65,1.44,,0.341,0.659,,,1.27,1.28,1.95,0.404,0.399,0.196,,1.39,2.82,,0.682,0.318,,,1.67,2.07,,0.558,0.442,
CD San Marcos de Arica - Union San Felipe,Liga de Ascenso,12/08 21:30,Betano,1.5,4.1,6.2,0.637,0.222,0.141,2.5,1.87,1.88,,0.501,0.499,,1.5,2.57,1.47,,0.354,0.646,,,1.14,1.22,2.62,0.470,0.421,0.109,,1.18,4.4,,0.810,0.190,,,1.98,1.75,,0.467,0.533,
AmaZulu Durban - Orlando Pirates,Premiership,12/08 14:30,Betano,6.7,3.85,1.5,0.128,0.236,0.636,2.5,2.12,1.65,,0.433,0.567,,0.5,1.47,2.5,,0.640,0.360,,,2.6,1.23,1.11,0.108,0.409,0.484,,4.6,1.16,,0.178,0.822,,,2.3,1.55,,0.395,0.605,
Kaizer Chiefs - Sekhukhune United,Premiership,12/08 14:30,Betano,1.93,3.05,4.25,0.488,0.301,0.211,1.5,1.52,2.37,,0.618,0.382,,0.5,1.6,2.2,,0.585,0.415,,,1.23,1.33,1.87,0.421,0.371,0.208,,1.36,2.9,,0.695,0.305,,,2.22,1.6,,0.413,0.587,
Durban City FC - Golden Arrows FC,Premiership,12/08 14:30,Betano,2.65,2.8,2.9,0.351,0.331,0.319,1.5,1.55,2.3,,0.605,0.395,,0.5,1.62,2.15,,0.576,0.424,,,1.42,1.38,1.47,0.334,0.350,0.316,,1.78,1.93,,0.522,0.478,,,2.1,1.65,,0.435,0.565,
Milford - Siwelele FC,Premiership,12/08 14:30,Betano,2.85,2.87,2.62,0.324,0.322,0.354,1.5,1.52,2.35,,0.616,0.384,,0.5,1.6,2.18,,0.583,0.417,,,1.47,1.37,1.42,0.314,0.353,0.333,,1.93,1.78,,0.478,0.522,,,2.07,1.67,,0.442,0.558,
Weston Bears - Adamstown Rosebuds,NPL Northern NSW,12/08 07:00,Betano,1.4,5.1,5.6,0.677,0.170,0.153,3.5,1.67,1.95,,0.543,0.457,,1.5,1.82,1.78,,0.494,0.506,,,1.13,1.14,2.87,0.460,0.454,0.086,,1.17,3.95,,0.801,0.199,,,1.44,2.4,,0.639,0.361,
Charlestown Azzurri FC - Edgeworth Eagles,NPL Northern NSW,12/08 07:00,Betano,4.4,4.45,1.57,0.201,0.198,0.601,3.5,1.9,1.72,,0.472,0.528,,1.5,1.98,1.65,,0.449,0.551,,,2.32,1.18,1.18,0.132,0.434,0.434,,3.15,1.26,,0.262,0.738,,,1.45,2.37,,0.634,0.366,
Kahibah - Maitland FC,NPL Northern NSW,12/08 07:00,Betano,3.3,4.3,1.8,0.274,0.205,0.521,3.5,1.72,1.88,,0.525,0.475,,1.5,1.85,1.75,,0.485,0.515,,,1.95,1.19,1.28,0.185,0.432,0.383,,2.47,1.42,,0.350,0.650,,,1.33,2.77,,0.695,0.305,
AC Carina - Redcliffe Dolphins,Queensland Premier League 3,12/08 07:30,Betano,1.12,7.8,11.25,0.843,0.097,0.060,4.5,1.65,1.98,,0.551,0.449,,1.5,1.45,2.25,,0.623,0.377,,,1.03,1.06,3.75,0.491,0.467,0.042,,1.04,6.8,,0.907,0.093,,,,,,,,
Club La Union - Aucas,Copa,12/08 17:00,Betano,5.0,3.65,1.62,0.173,0.245,0.581,2.5,1.8,1.8,,0.500,0.500,,0.5,1.38,2.6,,0.670,0.330,,,2.22,1.24,1.16,0.146,0.404,0.450,,3.35,1.23,,0.243,0.757,,,1.8,1.8,,0.500,0.500,
Lohjan Pallo - MPS Helsinki,Kolmonen,12/08 12:30,Betano,1.4,4.75,5.3,0.667,0.177,0.156,3.5,1.8,1.8,,0.500,0.500,,1.5,1.87,1.67,,0.468,0.532,,,1.13,1.15,2.52,0.453,0.440,0.108,,1.17,3.9,,0.799,0.201,,,,,,,,
LAUTP - KJP Kouvola,Kolmonen,12/08 13:00,Betano,2.27,4.1,2.37,0.403,0.212,0.385,3.5,1.62,2.05,,0.565,0.435,,1.5,1.72,1.82,,0.516,0.484,,,1.47,1.2,1.52,0.299,0.419,0.282,,1.78,1.83,,0.508,0.492,,,,,,,,
PK-37 - Niemisen Urheilijat,Kolmonen,12/08 13:00,Betano,2.75,4.0,2.02,0.327,0.217,0.456,3.5,1.75,1.87,,0.518,0.482,,1.5,1.82,1.72,,0.484,0.516,,,1.65,1.21,1.36,0.245,0.414,0.341,,2.1,1.57,,0.420,0.580,,,,,,,,
Gilla FC - Espa,Kolmonen,12/08 14:00,Betano,3.55,4.3,1.67,0.246,0.199,0.555,3.5,1.72,1.9,,0.528,0.472,,1.5,1.8,1.75,,0.492,0.508,,,1.95,1.18,1.24,0.179,0.427,0.394,,2.7,1.35,,0.315,0.685,,,,,,,,
AEK Atenas - OFI Creta,Supercopa,12/08 14:00,Betano,1.6,3.95,5.9,0.606,0.238,0.156,2.5,1.91,1.9,,0.499,0.501,,0.5,1.42,2.8,,0.674,0.326,,,1.15,1.24,2.42,0.463,0.410,0.127,,1.21,4.05,,0.790,0.210,,,1.93,1.8,,0.481,0.519,
Fraijanes FC - AFF Guatemala,Primera Division de Ascenso,12/08 18:00,Betano,1.57,3.6,5.1,0.593,0.243,0.164,2.5,1.9,1.72,,0.472,0.528,,0.5,1.39,2.42,,0.653,0.347,,,1.14,1.23,2.12,0.451,0.397,0.152,,1.21,3.5,,0.770,0.230,,,,,,,,
Achuapa - CD Sayaxche,Primera Division de Ascenso,12/08 18:00,Betano,1.83,3.4,3.7,0.505,0.259,0.236,2.5,1.88,1.72,,0.475,0.525,,0.5,1.39,2.45,,0.656,0.344,,,1.23,1.26,1.78,0.401,0.386,0.213,,1.37,2.65,,0.676,0.324,,,,,,,,
CSD Chiquimulilla - Csd Sacachispas,Primera Division de Ascenso,12/08 22:00,Betano,1.7,3.35,4.4,0.544,0.262,0.193,2.5,2.02,1.62,,0.439,0.561,,0.5,1.44,2.3,,0.630,0.370,,,1.18,1.26,1.91,0.429,0.385,0.187,,1.28,3.05,,0.727,0.273,,,,,,,,
CD Mictlan - Nueva Santa Rosa CDF,Primera Division de Ascenso,12/08 23:00,Betano,1.5,3.8,5.7,0.624,0.230,0.145,2.5,1.8,1.8,,0.500,0.500,,1.5,2.52,1.36,,0.331,0.669,,,1.12,1.21,2.3,0.463,0.407,0.130,,1.17,3.9,,0.799,0.201,,,,,,,,
