confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Gainare Tottori - FC Osaka,J3 League,08/08 07:00,Betano,3.6,3.05,2.1,0.251,0.300,0.449,2.5,2.18,1.62,,0.418,0.582,,0.5,1.52,2.37,,0.623,0.377,,,1.72,1.33,1.29,0.170,0.394,0.436,,2.5,1.47,,0.354,0.646,,,1.9,1.8,,0.485,0.515,
Kagoshima United - Thespa Gunma,J3 League,08/08 07:00,Betano,1.9,3.55,3.7,0.501,0.255,0.244,2.5,1.75,1.98,,0.535,0.465,,1.5,2.57,1.45,,0.343,0.657,,,1.28,1.27,1.9,0.436,0.448,0.116,,1.42,2.67,,0.672,0.328,,,1.65,2.1,,0.568,0.432,
Kochi United SC - Matsumoto Yamaga FC,J3 League,08/08 07:00,Betano,2.47,3.05,2.9,0.379,0.302,0.319,2.5,2.15,1.62,,0.421,0.579,,0.5,1.5,2.4,,0.631,0.369,,,1.42,1.34,1.55,0.338,0.404,0.258,,1.72,2.0,,0.542,0.458,,,1.83,1.87,,0.506,0.494,
Atletico Suzuka Club - Tokai FC,Regional Leagues,08/08 06:00,Betano,1.62,3.9,4.65,0.589,0.225,0.186,2.5,1.75,1.85,,0.516,0.484,,1.5,2.52,1.4,,0.331,0.669,,,1.17,1.22,2.22,0.523,0.440,0.037,,1.25,3.25,,0.762,0.238,,,1.8,1.82,,0.503,0.497,
Yazaki Valente FC - FC Kariya,Regional Leagues,08/08 06:00,Betano,5.0,4.1,1.55,0.170,0.212,0.618,2.5,1.65,1.98,,0.554,0.446,,1.5,2.4,1.44,,0.352,0.648,,,2.37,1.2,1.15,0.021,0.443,0.536,,3.45,1.22,,0.217,0.783,,,1.75,1.87,,0.519,0.481,
BFC Daugavpils - FK Tukums 2000/Tss,Virsliga,08/08 10:00,Betano,1.85,3.55,3.5,0.505,0.245,0.249,2.5,1.55,2.15,,0.596,0.404,,1.5,2.2,1.47,,0.378,0.622,,,1.25,1.25,1.78,0.440,0.440,0.120,,1.4,2.55,,0.671,0.329,,,,,,,,
Marupes SC - Saldus Ss/Leevon,1.ª Divisão,08/08 07:00,Betano,3.5,3.75,1.8,0.249,0.230,0.521,3.5,2.12,1.57,,0.412,0.588,,1.5,2.1,1.53,,0.405,0.595,,,1.82,1.22,1.25,0.103,0.469,0.428,,2.57,1.38,,0.321,0.679,,,,,,,,
Smiltene - Valmiera FC,1.ª Divisão,08/08 12:00,Betano,12.0,6.8,1.14,0.049,0.098,0.853,3.5,1.67,1.95,,0.546,0.454,,1.5,1.78,1.75,,0.495,0.505,,,3.6,1.07,1.03,0.000,0.360,0.640,,6.9,1.04,,0.057,0.943,,,,,,,,
Skanstes SK - FK Rezekne/Bjss,1.ª Divisão,08/08 07:30,Betano,1.37,4.9,5.7,0.699,0.164,0.138,3.5,1.8,1.82,,0.503,0.497,,1.5,1.85,1.7,,0.474,0.526,,,1.12,1.14,2.65,0.523,0.473,0.004,,1.15,4.15,,0.837,0.163,,,,,,,,
FK Kauno Zalgiris - FK Hegelmann Litauen,A Lyga,08/08 13:00,Betano,1.31,4.7,7.4,0.733,0.168,0.100,2.5,1.57,2.12,,0.588,0.412,,1.5,2.22,1.47,,0.376,0.624,,,1.08,1.15,2.9,0.602,0.397,0.001,,1.1,5.0,,0.881,0.119,,,,,,,,
FK Tauras Taurage - Neptunas Klaipeda,1. Lyga,08/08 08:00,Betano,2.02,3.6,3.0,0.460,0.243,0.297,2.5,1.6,2.05,,0.573,0.427,,1.5,2.27,1.45,,0.366,0.634,,,1.32,1.24,1.65,0.370,0.463,0.167,,1.52,2.2,,0.608,0.392,,,,,,,,
Minija Kretinga - Be1 NFA,1. Lyga,08/08 12:00,Betano,1.47,4.15,5.2,0.646,0.199,0.154,2.5,1.57,2.12,,0.588,0.412,,1.5,2.22,1.47,,0.376,0.624,,,1.14,1.18,2.3,0.532,0.450,0.018,,1.19,3.65,,0.804,0.196,,,,,,,,
