confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Atletico Linense SP - Gremio Prudente SP,Copa Paulista,09/08 10:00,Betano,1.75,3.35,4.6,0.538,0.271,0.191,2.5,2.27,1.5,,0.387,0.613,,0.5,1.52,2.22,,0.604,0.396,,,1.19,1.27,2.02,0.434,0.391,0.175,,1.28,3.05,,0.727,0.273,,,2.18,1.53,,0.403,0.597,
Osasco Sporting SP - Paulista FC SP,Copa Paulista,09/08 11:00,Betano,2.45,3.1,2.82,0.379,0.295,0.326,2.5,2.2,1.52,,0.398,0.602,,0.5,1.5,2.25,,0.611,0.389,,,1.36,1.32,1.53,0.348,0.366,0.286,,1.7,1.93,,0.535,0.465,,,1.93,1.7,,0.465,0.535,
São Bernardo - São Caetano,Copa Paulista,09/08 11:00,Betano,1.8,3.25,4.45,0.522,0.279,0.198,2.5,2.12,1.57,,0.417,0.583,,0.5,1.47,2.32,,0.625,0.375,,,1.18,1.29,1.95,0.437,0.378,0.185,,1.3,2.95,,0.715,0.285,,,1.95,1.67,,0.457,0.543,
Apafut Caxias Do Sul RS - Sport Clube Gaucho,Campeonato Gaúcho - Divisão de Acesso,09/08 15:00,Betano,2.35,3.0,2.82,0.386,0.297,0.317,2.5,2.15,1.55,,0.410,0.590,,0.5,1.47,2.22,,0.615,0.385,,,1.35,1.32,1.47,0.344,0.358,0.298,,1.67,1.95,,0.543,0.457,,,,,,,,
EC Guarani RS - Veranopolis RS,Campeonato Gaúcho - Divisão de Acesso,09/08 15:00,Betano,3.4,3.0,2.07,0.259,0.297,0.443,1.5,1.47,2.32,,0.625,0.375,,0.5,1.52,2.12,,0.593,0.407,,,1.62,1.32,1.26,0.253,0.359,0.388,,2.35,1.47,,0.373,0.627,,,,,,,,
EC Pelotas - GE Bage,Campeonato Gaúcho - Divisão de Acesso,09/08 15:00,Betano,1.5,3.1,8.25,0.622,0.286,0.092,1.5,1.55,2.15,,0.590,0.410,,0.5,1.6,1.98,,0.560,0.440,,,1.07,1.28,2.27,0.498,0.369,0.133,,1.11,4.85,,0.847,0.153,,,,,,,,
Bom Jesus EC - Rio Verde GO,Campeonato Goiano - Segunda Divisão,09/08 10:00,Betano,2.67,2.92,2.52,0.336,0.305,0.358,2.5,2.1,1.57,,0.420,0.580,,0.5,1.47,2.22,,0.615,0.385,,,1.42,1.33,1.38,0.316,0.353,0.331,,1.85,1.75,,0.485,0.515,,,,,,,,
Mineiros GO - Goianesia,Campeonato Goiano - Segunda Divisão,09/08 16:00,Betano,2.82,2.92,2.42,0.318,0.306,0.375,1.5,1.52,2.22,,0.604,0.396,,0.5,1.55,2.07,,0.581,0.419,,,1.45,1.33,1.35,0.304,0.352,0.343,,1.95,1.67,,0.457,0.543,,,,,,,,
Mansfield Town - Sheffield United,EFL Cup,09/08 12:00,Betano,4.0,3.6,1.83,0.227,0.254,0.518,2.5,1.83,1.91,,0.511,0.489,,1.5,2.72,1.42,,0.332,0.668,,,2.0,1.27,1.26,0.187,0.404,0.409,,2.9,1.38,,0.310,0.690,,,1.75,1.98,,0.533,0.467,
SS Arezzo - Union Brescia,Copa de Itália,09/08 14:45,Betano,2.02,3.2,3.75,0.468,0.289,0.244,2.5,2.15,1.65,,0.430,0.570,,0.5,1.5,2.47,,0.631,0.369,,,1.29,1.33,1.8,0.396,0.377,0.227,,1.45,2.62,,0.654,0.346,,,1.9,1.82,,0.488,0.512,
Benevento Calcio - Ravenna Calcio,Copa de Itália,09/08 16:00,Betano,1.62,3.7,5.4,0.588,0.247,0.164,2.5,2.05,1.72,,0.453,0.547,,0.5,1.47,2.57,,0.646,0.354,,,1.17,1.26,2.32,0.456,0.404,0.140,,1.24,3.8,,0.772,0.228,,,2.05,1.7,,0.450,0.550,
Energie Cottbus - Hannover 96,2. Bundesliga,09/08 08:30,Betano,3.05,3.6,2.25,0.311,0.262,0.427,3.5,2.35,1.6,,0.400,0.600,,1.5,2.32,1.6,,0.403,0.597,,,1.67,1.28,1.4,0.257,0.399,0.345,,2.15,1.65,,0.430,0.570,,,1.45,2.6,,0.653,0.347,
1. FC Nurnberg - Dynamo Dresden,2. Bundesliga,09/08 08:30,Betano,2.42,3.45,2.87,0.395,0.273,0.331,2.5,1.75,2.07,,0.544,0.456,,1.5,2.62,1.47,,0.351,0.649,,,1.44,1.3,1.6,0.331,0.391,0.278,,1.72,2.05,,0.547,0.453,,,1.6,2.27,,0.592,0.408,
FC St. Pauli - SpVgg Greuther Furth,2. Bundesliga,09/08 08:30,Betano,1.75,3.95,4.5,0.553,0.239,0.208,2.5,1.65,2.25,,0.581,0.419,,1.5,2.45,1.53,,0.377,0.623,,,1.23,1.24,2.15,0.422,0.416,0.162,,1.32,3.2,,0.723,0.277,,,1.62,2.22,,0.583,0.417,
1. FC Saarbrucken - Rot Weiss Essen,3. Liga,09/08 11:30,Betano,2.7,3.65,2.35,0.347,0.252,0.401,3.5,2.25,1.6,,0.410,0.590,,1.5,2.27,1.6,,0.408,0.592,,,1.6,1.27,1.47,0.277,0.405,0.319,,2.0,1.75,,0.464,0.536,,,1.45,2.55,,0.649,0.351,
TSV Alemannia Aachen - SC Verl,3. Liga,09/08 14:30,Betano,2.18,3.75,2.87,0.432,0.244,0.324,3.5,2.07,1.7,,0.447,0.553,,1.5,2.15,1.65,,0.430,0.570,,,1.44,1.26,1.7,0.334,0.414,0.253,,1.65,2.15,,0.570,0.430,,,1.4,2.72,,0.673,0.327,
1. FC Phönix Lübeck - SSV Jeddeloh,Regionalliga Norte,09/08 09:00,Betano,1.7,3.9,4.15,0.555,0.230,0.215,3.5,1.98,1.65,,0.449,0.551,,1.5,2.05,1.6,,0.431,0.569,,,1.2,1.22,2.12,0.426,0.415,0.159,,1.3,2.92,,0.713,0.287,,,1.42,2.45,,0.648,0.352,
FSV Schoningen 2011 - Eintracht Norderstedt,Regionalliga Norte,09/08 10:00,Betano,2.45,3.75,2.4,0.377,0.238,0.385,3.5,1.95,1.67,,0.457,0.543,,1.5,2.02,1.62,,0.439,0.561,,,1.55,1.24,1.45,0.280,0.406,0.314,,1.82,1.78,,0.494,0.506,,,1.37,2.65,,0.676,0.324,
Rot-Weiss Oberhausen - Sportfreunde Lotte,Regionalliga Oeste,09/08 09:00,Betano,1.29,5.4,7.9,0.738,0.160,0.103,3.5,1.98,1.65,,0.449,0.551,,1.5,2.05,1.62,,0.435,0.565,,,1.08,1.13,3.5,0.490,0.454,0.056,,1.09,5.1,,0.861,0.139,,,1.75,1.87,,0.518,0.482,
Leher TS - TV Eiche Horn,Bremen-Liga,09/08 10:30,Betano,3.65,3.85,1.75,0.241,0.227,0.531,3.5,1.78,1.83,,0.508,0.492,,1.5,1.85,1.7,,0.476,0.524,,,1.88,1.21,1.23,0.191,0.410,0.399,,2.7,1.35,,0.315,0.685,,,,,,,,
Turabdin-Babylon Pohlheim - SV Hummetroth,HessenLiga,09/08 09:30,Betano,1.82,3.7,3.5,0.510,0.238,0.253,3.5,1.55,2.15,,0.590,0.410,,1.5,1.7,1.85,,0.524,0.476,,,1.25,1.23,1.8,0.391,0.401,0.208,,1.39,2.55,,0.664,0.336,,,,,,,,
SC Spelle-Venhaus - VfV Borussia 06 Hildesheim,Oberliga Niedersachsen,09/08 10:00,Betano,1.72,4.1,3.55,0.540,0.211,0.248,3.5,1.78,1.82,,0.506,0.494,,1.5,1.85,1.7,,0.476,0.524,,,1.24,1.2,1.9,0.395,0.417,0.188,,1.36,2.65,,0.679,0.321,,,,,,,,
Union Sandersdorf - VfB 1921 Krieschow,NOFV-Oberliga Sud,09/08 09:00,Betano,2.27,3.85,2.42,0.401,0.225,0.374,3.5,1.93,1.7,,0.465,0.535,,1.5,1.95,1.62,,0.448,0.552,,,1.45,1.22,1.5,0.305,0.407,0.288,,1.75,1.85,,0.515,0.485,,,,,,,,
VfL Halle 96 - VfB Auerbach,NOFV-Oberliga Sud,09/08 09:00,Betano,2.27,3.7,2.52,0.403,0.237,0.360,3.5,1.91,1.7,,0.468,0.532,,1.5,1.95,1.62,,0.448,0.552,,,1.42,1.23,1.52,0.316,0.402,0.282,,1.72,1.9,,0.528,0.472,,,,,,,,
SpVgg Vreden 1921 - TuS Hiltrup,Oberliga Westfalen,09/08 10:00,Betano,2.15,3.8,2.62,0.426,0.229,0.345,3.5,1.98,1.65,,0.449,0.551,,1.5,2.0,1.6,,0.438,0.563,,,1.39,1.23,1.57,0.329,0.403,0.267,,1.65,1.98,,0.551,0.449,,,,,,,,
FC Vizela - União de Leiria,Liga 2,09/08 10:00,Betano,2.52,3.15,2.8,0.372,0.294,0.333,2.5,1.93,1.82,,0.484,0.516,,0.5,1.44,2.65,,0.659,0.341,,,1.45,1.33,1.55,0.328,0.378,0.294,,1.78,1.98,,0.528,0.472,,,1.67,2.07,,0.558,0.442,
Feirense - FC Felgueiras 1932,Liga 2,09/08 11:30,Betano,2.7,3.0,2.75,0.348,0.311,0.341,1.5,1.5,2.47,,0.631,0.369,,0.5,1.6,2.27,,0.592,0.408,,,1.47,1.36,1.47,0.319,0.362,0.319,,1.85,1.88,,0.504,0.496,,,2.02,1.7,,0.453,0.547,
Fafe - SC Vianense,Liga 3,09/08 13:00,Betano,1.72,3.6,4.25,0.545,0.248,0.207,2.5,1.9,1.72,,0.472,0.528,,0.5,1.4,2.52,,0.659,0.341,,,1.19,1.24,2.05,0.430,0.402,0.168,,1.3,2.95,,0.715,0.285,,,1.87,1.75,,0.482,0.518,
CD Trofense - Varzim,Liga 3,09/08 13:00,Betano,2.85,2.92,2.52,0.321,0.313,0.366,1.5,1.47,2.35,,0.627,0.373,,0.5,1.55,2.15,,0.590,0.410,,,1.5,1.34,1.4,0.300,0.362,0.337,,1.9,1.72,,0.472,0.528,,,1.98,1.65,,0.449,0.551,
Leça FC - Sao Joao Ver,Liga 3,09/08 13:30,Betano,2.1,3.2,3.35,0.445,0.284,0.271,2.5,2.05,1.6,,0.431,0.569,,0.5,1.45,2.37,,0.634,0.366,,,1.28,1.29,1.7,0.384,0.379,0.237,,1.5,2.27,,0.613,0.387,,,1.85,1.75,,0.485,0.515,
Indy Eleven - Hartford Athletic,USL Championship,09/08 18:00,Betano,1.85,3.5,3.65,0.503,0.254,0.243,2.5,1.65,2.1,,0.565,0.435,,1.5,2.42,1.5,,0.373,0.627,,,1.27,1.26,1.91,0.398,0.403,0.199,,1.4,2.72,,0.673,0.327,,,1.6,2.22,,0.587,0.413,
Seattle Sounders FC - Querétaro FC,Leagues Cup,09/08 16:30,Betano,2.07,3.7,3.35,0.464,0.254,0.282,2.5,1.67,2.22,,0.574,0.426,,1.5,2.47,1.52,,0.373,0.627,,,1.35,1.27,1.78,0.366,0.404,0.230,,1.53,2.4,,0.618,0.382,,,1.57,2.32,,0.603,0.397,
Philadelphia Union - Club Necaxa,Leagues Cup,09/08 20:30,Betano,1.75,4.1,4.25,0.552,0.228,0.220,2.5,1.65,2.27,,0.583,0.417,,1.5,2.42,1.55,,0.384,0.616,,,1.24,1.23,2.12,0.415,0.420,0.165,,1.34,3.1,,0.712,0.288,,,1.62,2.2,,0.581,0.419,
Cruz Azul - New York City FC,Leagues Cup,09/08 20:40,Betano,2.4,3.4,2.95,0.399,0.278,0.323,2.5,1.82,2.0,,0.525,0.475,,1.5,2.7,1.45,,0.340,0.660,,,1.42,1.31,1.6,0.338,0.385,0.277,,1.7,2.07,,0.553,0.447,,,1.62,2.2,,0.581,0.419,
Chicago Fire FC - Santos Laguna,Leagues Cup,09/08 21:00,Betano,1.55,4.5,5.5,0.625,0.207,0.167,3.5,2.22,1.67,,0.426,0.574,,1.5,2.22,1.65,,0.422,0.578,,,1.17,1.2,2.52,0.450,0.432,0.117,,1.23,3.9,,0.778,0.222,,,1.57,2.3,,0.601,0.399,
Nashville SC - Atlético San Luis,Leagues Cup,09/08 21:00,Betano,1.67,3.95,5.0,0.578,0.237,0.185,2.5,1.6,2.37,,0.602,0.398,,1.5,2.37,1.57,,0.392,0.608,,,1.2,1.24,2.25,0.437,0.415,0.148,,1.27,3.5,,0.751,0.249,,,1.57,2.3,,0.601,0.399,
Austin FC - Club Puebla,Leagues Cup,09/08 22:00,Betano,1.9,3.9,3.8,0.509,0.242,0.249,2.5,1.62,2.3,,0.591,0.409,,1.5,2.42,1.55,,0.384,0.616,,,1.29,1.25,1.95,0.392,0.413,0.195,,1.42,2.72,,0.668,0.332,,,1.57,2.3,,0.601,0.399,
San Diego FC - Club Tijuana,Leagues Cup,09/08 23:00,Betano,1.7,4.05,4.6,0.568,0.231,0.202,2.5,1.6,2.35,,0.600,0.400,,1.5,2.37,1.57,,0.392,0.608,,,1.22,1.23,2.2,0.426,0.420,0.154,,1.3,3.3,,0.733,0.267,,,1.6,2.27,,0.592,0.408,
Club América - Portland Timbers,Leagues Cup,09/08 23:15,Betano,2.22,3.65,3.1,0.434,0.259,0.307,3.5,2.32,1.62,,0.407,0.593,,1.5,2.3,1.6,,0.405,0.595,,,1.4,1.28,1.7,0.347,0.402,0.251,,1.62,2.22,,0.583,0.417,,,1.45,2.62,,0.654,0.346,
Arsenal - Borussia Dortmund,Emirates Cup,09/08 10:00,Betano,1.62,4.3,5.0,0.597,0.217,0.185,3.5,2.35,1.6,,0.400,0.600,,1.5,2.32,1.6,,0.403,0.597,,,1.2,1.22,2.32,0.436,0.425,0.139,,1.27,3.55,,0.753,0.247,,,1.6,2.27,,0.592,0.408,
San Lorenzo - CA Huracán,Liga Profesional,09/08 15:00,Betano,2.85,2.77,2.95,0.334,0.344,0.322,1.5,1.85,1.95,,0.514,0.486,,0.5,1.82,1.95,,0.518,0.482,,,1.42,1.4,1.45,0.334,0.342,0.323,,1.85,1.9,,0.507,0.493,,,2.62,1.45,,0.346,0.654,
Gimnasia y Esgrima de La Plata - Barracas Central,Liga Profesional,09/08 17:45,Betano,1.85,3.2,5.1,0.522,0.297,0.182,1.5,1.62,2.3,,0.591,0.409,,0.5,1.67,2.18,,0.570,0.430,,,1.19,1.33,2.0,0.444,0.371,0.185,,1.3,3.35,,0.735,0.265,,,2.47,1.5,,0.369,0.631,
Defensa y Justicia - Newells Old Boys,Liga Profesional,09/08 17:45,Betano,2.3,2.95,3.6,0.417,0.322,0.262,1.5,1.53,2.52,,0.628,0.372,,0.5,1.62,2.25,,0.586,0.414,,,1.31,1.37,1.65,0.383,0.356,0.261,,1.55,2.35,,0.610,0.390,,,2.07,1.7,,0.447,0.553,
Argentinos Juniors - Racing Club,Liga Profesional,09/08 20:15,Betano,2.15,2.9,4.1,0.446,0.327,0.227,1.5,1.55,2.5,,0.623,0.377,,0.5,1.65,2.22,,0.578,0.422,,,1.26,1.38,1.72,0.407,0.351,0.242,,1.45,2.65,,0.656,0.344,,,2.07,1.7,,0.447,0.553,
Godoy Cruz - Chaco For Ever,Primera B Nacional,09/08 16:30,Betano,1.65,3.3,5.9,0.575,0.278,0.147,2.5,2.4,1.5,,0.375,0.625,,0.5,1.57,2.27,,0.598,0.402,,,1.14,1.29,2.25,0.470,0.384,0.146,,1.21,3.95,,0.787,0.213,,,2.32,1.55,,0.393,0.607,
Club Atletico Atlanta - Temperley,Primera B Nacional,09/08 14:00,Betano,2.05,2.8,4.3,0.460,0.331,0.209,1.5,1.62,2.15,,0.576,0.424,,0.5,1.7,2.05,,0.550,0.450,,,1.22,1.38,1.75,0.423,0.346,0.231,,1.38,2.8,,0.684,0.316,,,2.3,1.55,,0.395,0.605,
Los Andes - Ferro Carril Oeste,Primera B Nacional,09/08 14:30,Betano,2.65,2.75,2.95,0.350,0.337,0.313,1.5,1.72,2.0,,0.541,0.459,,0.5,1.75,1.98,,0.533,0.467,,,1.4,1.4,1.47,0.342,0.342,0.316,,1.75,1.95,,0.529,0.471,,,2.42,1.5,,0.373,0.627,
Deportivo Moron - Acassuso,Primera B Nacional,09/08 15:00,Betano,1.55,3.35,7.3,0.613,0.273,0.115,1.5,1.52,2.37,,0.618,0.382,,0.5,1.6,2.18,,0.583,0.417,,,1.1,1.28,2.42,0.492,0.384,0.124,,1.15,4.7,,0.828,0.172,,,2.5,1.47,,0.360,0.640,
Colegiales - CA Patronato Parana,Primera B Nacional,09/08 15:00,Betano,2.02,2.8,4.35,0.465,0.330,0.205,1.5,1.7,2.05,,0.550,0.450,,0.5,1.72,2.0,,0.541,0.459,,,1.22,1.38,1.78,0.426,0.348,0.226,,1.38,2.82,,0.685,0.315,,,2.5,1.47,,0.360,0.640,
Colon de Santa Fe - San Telmo,Primera B Nacional,09/08 15:30,Betano,1.57,3.45,6.4,0.604,0.263,0.133,1.5,1.5,2.42,,0.627,0.373,,0.5,1.57,2.27,,0.598,0.402,,,1.13,1.27,2.37,0.475,0.393,0.131,,1.18,4.3,,0.807,0.193,,,2.42,1.5,,0.373,0.627,
Racing de Cordoba - San Miguel,Primera B Nacional,09/08 16:00,Betano,2.07,2.77,4.2,0.453,0.334,0.213,1.5,1.67,2.07,,0.558,0.442,,0.5,1.72,2.0,,0.541,0.459,,,1.23,1.39,1.75,0.421,0.345,0.234,,1.4,2.75,,0.675,0.325,,,2.42,1.5,,0.373,0.627,
CA Mitre - Defensores De Belgrano,Primera B Nacional,09/08 16:00,Betano,2.42,2.7,3.4,0.386,0.344,0.269,1.5,1.67,2.07,,0.558,0.442,,0.5,1.72,2.0,,0.541,0.459,,,1.32,1.4,1.55,0.374,0.340,0.286,,1.6,2.2,,0.585,0.415,,,2.32,1.53,,0.389,0.611,
Quilmes - Almagro BA,Primera B Nacional,09/08 17:00,Betano,1.55,3.45,7.0,0.614,0.265,0.121,1.5,1.5,2.42,,0.627,0.373,,0.5,1.57,2.25,,0.596,0.404,,,1.11,1.27,2.45,0.487,0.391,0.122,,1.16,4.6,,0.822,0.178,,,2.5,1.47,,0.360,0.640,
Gimnasia y Tiro - Nueva Chicago,Primera B Nacional,09/08 17:30,Betano,1.87,2.9,5.0,0.505,0.318,0.177,1.5,1.6,2.18,,0.583,0.417,,0.5,1.67,2.07,,0.558,0.442,,,1.18,1.35,1.93,0.447,0.359,0.194,,1.29,3.25,,0.734,0.266,,,2.37,1.52,,0.382,0.618,
San Martin Tucuman - San Martin de San Juan,Primera B Nacional,09/08 18:00,Betano,2.15,2.8,3.9,0.437,0.331,0.232,1.5,1.7,2.05,,0.550,0.450,,0.5,1.72,2.0,,0.541,0.459,,,1.26,1.38,1.7,0.405,0.349,0.246,,1.45,2.57,,0.650,0.350,,,2.42,1.5,,0.373,0.627,
CS Dock Sud - San Martin de Burzaco,Primera B Metropolitana,09/08 15:00,Betano,2.2,2.87,3.5,0.423,0.319,0.258,1.5,1.5,2.27,,0.613,0.387,,0.5,1.57,2.12,,0.583,0.417,,,1.26,1.35,1.65,0.396,0.353,0.251,,1.5,2.27,,0.613,0.387,,,2.02,1.62,,0.439,0.561,
Deportivo Laferrere - Arsenal de Sarandi,Primera B Metropolitana,09/08 15:00,Betano,3.15,2.82,2.4,0.289,0.325,0.386,1.5,1.55,2.15,,0.590,0.410,,0.5,1.62,2.05,,0.565,0.435,,,1.55,1.36,1.35,0.285,0.355,0.359,,2.05,1.6,,0.431,0.569,,,2.12,1.57,,0.417,0.583,
CA Lugano - Victoriano Arenas,Primera C Metropolitana,09/08 15:00,Betano,2.4,2.7,3.1,0.379,0.334,0.287,1.5,1.6,2.07,,0.571,0.429,,0.5,1.62,1.95,,0.552,0.448,,,1.3,1.38,1.45,0.365,0.331,0.304,,1.62,2.05,,0.565,0.435,,,,,,,,
Juventud Unida - Puerto Nuevo,Primera C Metropolitana,09/08 15:00,Betano,2.27,2.65,3.4,0.401,0.340,0.259,1.5,1.62,2.05,,0.565,0.435,,0.5,1.65,1.91,,0.541,0.459,,,1.26,1.38,1.5,0.384,0.330,0.286,,1.52,2.22,,0.604,0.396,,,,,,,,
Lujan SC - Central Cordoba Rosario,Primera C Metropolitana,09/08 15:00,Betano,2.02,2.82,3.8,0.454,0.317,0.229,1.5,1.62,2.02,,0.561,0.439,,0.5,1.62,1.95,,0.552,0.448,,,1.22,1.35,1.62,0.406,0.343,0.251,,1.4,2.5,,0.657,0.343,,,,,,,,
CA Atlas - Canuelas FC,Primera C Metropolitana,09/08 15:00,Betano,2.92,2.8,2.45,0.307,0.322,0.371,1.5,1.57,2.12,,0.583,0.417,,0.5,1.6,1.98,,0.560,0.440,,,1.44,1.36,1.33,0.308,0.339,0.352,,1.95,1.67,,0.457,0.543,,,,,,,,
Belgrano Zarate - Academia Control Orientado,Torneo Promocional Amateur,09/08 15:00,Betano,2.2,2.87,3.25,0.415,0.312,0.272,1.5,1.52,2.22,,0.604,0.396,,0.5,1.55,2.05,,0.579,0.421,,,1.28,1.34,1.55,0.377,0.350,0.273,,1.53,2.2,,0.600,0.400,,,,,,,,
Alumni Los Hornos - Barrancas FC,Torneo Promocional Amateur,09/08 15:00,Betano,2.9,2.82,2.45,0.310,0.319,0.371,1.5,1.53,2.18,,0.597,0.403,,0.5,1.57,2.02,,0.571,0.429,,,1.45,1.35,1.34,0.306,0.345,0.349,,1.95,1.67,,0.457,0.543,,,,,,,,
Deportes Concepcion - Universidad de Concepcion,Liga de Primera,09/08 13:30,Betano,1.98,3.45,3.95,0.487,0.275,0.238,2.5,2.02,1.8,,0.470,0.530,,0.5,1.47,2.65,,0.651,0.349,,,1.27,1.3,1.87,0.403,0.388,0.210,,1.42,2.72,,0.668,0.332,,,1.8,1.93,,0.519,0.481,
O'Higgins - Deportes Limache,Liga de Primera,09/08 16:00,Betano,2.07,3.55,3.5,0.465,0.266,0.270,2.5,1.75,2.1,,0.548,0.452,,1.5,2.6,1.47,,0.352,0.648,,,1.33,1.29,1.78,0.375,0.394,0.230,,1.5,2.47,,0.631,0.369,,,1.62,2.22,,0.583,0.417,
Unión La Calera - Colo Colo,Liga de Primera,09/08 18:30,Betano,4.85,3.65,1.75,0.191,0.258,0.551,2.5,1.98,1.83,,0.479,0.521,,1.5,2.72,1.44,,0.337,0.663,,,2.12,1.27,1.2,0.165,0.398,0.437,,3.35,1.3,,0.265,0.735,,,1.87,1.87,,0.500,0.500,
Universidad de Chile - Palestino,Liga de Primera,09/08 21:00,Betano,1.7,3.85,4.9,0.568,0.244,0.189,2.5,1.87,1.95,,0.511,0.489,,1.5,2.77,1.44,,0.333,0.667,,,1.2,1.25,2.2,0.437,0.409,0.154,,1.28,3.45,,0.746,0.254,,,1.82,1.93,,0.516,0.484,
Deportes Copiapo - CD San Luis de Quillota,Liga de Ascenso,09/08 13:30,Betano,2.32,3.3,3.0,0.407,0.281,0.311,2.5,1.95,1.78,,0.476,0.524,,0.5,1.45,2.65,,0.656,0.344,,,1.4,1.32,1.62,0.347,0.381,0.272,,1.67,2.12,,0.564,0.436,,,1.75,1.98,,0.533,0.467,
